call_site,file_line,function,model,api_type,purpose,trigger,est_input_tokens_per_call,est_output_tokens_per_call,assumed_calls_per_month_PILOT,agent_sdk_exposed_june15,optimization_options,est_monthly_cost_usd_PILOT
Policy Assistant RAG (workhorse),backend/app/services/policy_assistant_llm_client.py:98,LlmClient.complete,claude-sonnet-4-6,Messages API,Answer HR/employee policy questions over retrieved chunks,User chat (policy assistant),3000,400,500,No,prompt-cache system+retrieved corpus (HIGH); Haiku fallback already wired,7.50
Factual verifier,backend/app/services/factual_verifier.py,via policy_assistant_llm_client,claude-sonnet-4-6,Messages API,Verify RAG answer claims against sources,Rides each RAG answer,1500,300,500,No,prompt-cache shared sources; Haiku candidate (binary-ish check),4.50
Roadmap generator,backend/app/services/roadmap_generator.py,via policy_assistant_llm_client,claude-sonnet-4-6,Messages API,Generate per-case relocation roadmap,Per case roadmap build,2000,800,100,No,prompt-cache system; batch (non-interactive),1.80
Immigration answer engine,backend/app/services/immigration_answer_engine.py:34,via policy_assistant_llm_client,claude-sonnet-4-6,Messages API,Source-cited immigration answers,User immigration Q,3000,600,200,No,prompt-cache immigration corpus (HIGH),3.60
RAG pipeline,backend/app/services/rag_pipeline.py,via policy_assistant_llm_client,claude-sonnet-4-6,Messages API,Generic retrieval-augmented generation,Shared RAG path (overlaps RAG above),3000,500,200,No,prompt-cache; dedupe overlap with policy assistant,3.30
OCR passport extraction,backend/app/services/ocr_passport_extractor.py:328,llm_client.complete (claude_complete),claude-sonnet-4-6,Messages API + tools,Structured passport field extraction,Per passport/doc upload,2000,500,100,No,batch API (async-tolerant); prompt-cache tool schema,1.35
Policy document extraction,backend/app/services/llm_policy_extractor.py:294,extract_policy_with_llm,claude-sonnet-4-6,Messages API + tools,Extract benefits from uploaded policy doc (<=12k chars),Admin policy upload,3500,1500,50,No,batch API (HIGH — bulk admin); prompt-cache system+tool,1.65
Analytics NL query,backend/app/routers/analytics_query.py:169,_call_sonnet,claude-sonnet-4-6,Messages API,Natural-language admin analytics over structured context,Admin analytics page,1500,400,50,No,Haiku downgrade (HIGH — simple); low volume,0.53
Support ticket triage,backend/app/routers/support.py:433,_call_triage_model,claude-sonnet-4-6,Messages API,Classify/route support tickets,Per support ticket,1000,200,100,No,Haiku downgrade (HIGH — classification); cap max_tokens already 512,0.60
TOTAL (pilot-scale estimate),,,,,,,,,,No (0 Agent SDK call sites),All optimizations below are additive,24.83
