origin_iso2,origin_name,destination_iso2,persona_id,persona_label,route_key,applies_eu_free_movement,requires_mvv,requires_vvr,requires_recognised_sponsor,notes
IN,India,NL,1,Student - single,study_permit,false,true,true,true,Educational institution must be IND-recognised sponsor; MVV + VVR via IND; €254 fee; study ≤16 hrs/week or full-time June-Aug
IN,India,NL,2,Student - couple no kids,study_permit,false,true,true,true,Primary: as single student. Dependent spouse needs separate partner permit (MVV+VVR €254); sponsor income threshold applies
IN,India,NL,3,Student - couple with kids,study_permit,false,true,true,true,Primary: as student. Spouse: partner permit €254. Child: minor child permit €85. Income threshold applies for sponsor
IN,India,NL,4,Professional - single,kennismigrant,false,true,true,true,Employer must be IND-recognised sponsor; salary ≥€5942/mo (30+) or ≥€4357/mo (<30); €423 fee; 90-day processing
IN,India,NL,4,Professional - single,eu_blue_card,false,true,true,false,Higher-ed diploma (3yr+); salary ≥€5942/mo; €423 fee; employer must not have been fined; 30-90 day processing
IN,India,NL,5,Professional - couple no kids,kennismigrant,false,true,true,true,Primary: as single professional. Dependent spouse: partner permit MVV+VVR €254; IND 90-day decision
IN,India,NL,5,Professional - couple no kids,kennismigrant_dependent_partner,false,true,true,false,Spouse/partner permit; sponsor income ≥€2337/mo (without holiday allowance); both must be 21+; €254
IN,India,NL,6,Professional - couple with kids,kennismigrant,false,true,true,true,Primary: as professional. Spouse: partner permit €254. Child: minor child permit €85. Income thresholds apply
IN,India,NL,6,Professional - couple with kids,kennismigrant_dependent_child,false,true,true,false,Minor child permit; child under 18; parental authority required; €85 fee; 90-day processing
TR,Turkey,NL,1,Student - single,study_permit,false,true,true,true,As India; Turkey is non-EU; MVV + VVR; €254; institution must be IND-recognised sponsor
TR,Turkey,NL,2,Student - couple no kids,study_permit,false,true,true,true,Primary: student route. Spouse: partner permit €254; income threshold applies
TR,Turkey,NL,3,Student - couple with kids,study_permit,false,true,true,true,Primary: student. Spouse: partner permit €254. Child: minor child permit €85
TR,Turkey,NL,4,Professional - single,kennismigrant,false,true,true,true,As India professional; Turkey non-EU; salary thresholds apply; €423; 90-day
TR,Turkey,NL,5,Professional - couple no kids,kennismigrant,false,true,true,true,Primary: kennismigrant. Spouse: partner permit €254
TR,Turkey,NL,6,Professional - couple with kids,kennismigrant,false,true,true,true,Primary: kennismigrant. Spouse: €254. Child: €85
PL,Poland,NL,1,Student - single,eu_free_movement,true,false,false,false,EU citizen; no IND permit needed; register at gemeente within 4 months; BSN issued automatically
PL,Poland,NL,2,Student - couple no kids,eu_free_movement,true,false,false,false,Both EU citizens; register at gemeente; no permit required for either
PL,Poland,NL,3,Student - couple with kids,eu_free_movement,true,false,false,false,EU family; all register at gemeente; children also registered in BRP
PL,Poland,NL,4,Professional - single,eu_free_movement,true,false,false,false,EU citizen; no work permit needed; register at gemeente; BSN issued
PL,Poland,NL,5,Professional - couple no kids,eu_free_movement,true,false,false,false,Both EU; gemeente registration; no permit required
PL,Poland,NL,6,Professional - couple with kids,eu_free_movement,true,false,false,false,EU family; gemeente registration for all; children in BRP
DE,Germany,NL,1,Student - single,eu_free_movement,true,false,false,false,EU citizen; register at gemeente; no IND permit required
DE,Germany,NL,2,Student - couple no kids,eu_free_movement,true,false,false,false,Both EU; gemeente registration only
DE,Germany,NL,3,Student - couple with kids,eu_free_movement,true,false,false,false,EU family; gemeente registration; children also registered
DE,Germany,NL,4,Professional - single,eu_free_movement,true,false,false,false,EU citizen; register at gemeente; no work permit needed
DE,Germany,NL,5,Professional - couple no kids,eu_free_movement,true,false,false,false,Both EU; gemeente registration
DE,Germany,NL,6,Professional - couple with kids,eu_free_movement,true,false,false,false,EU family; gemeente registration for all
IT,Italy,NL,1,Student - single,eu_free_movement,true,false,false,false,EU citizen; gemeente registration; no permit
IT,Italy,NL,2,Student - couple no kids,eu_free_movement,true,false,false,false,Both EU; gemeente registration
IT,Italy,NL,3,Student - couple with kids,eu_free_movement,true,false,false,false,EU family; gemeente registration
IT,Italy,NL,4,Professional - single,eu_free_movement,true,false,false,false,EU citizen; register at gemeente
IT,Italy,NL,5,Professional - couple no kids,eu_free_movement,true,false,false,false,Both EU; gemeente registration
IT,Italy,NL,6,Professional - couple with kids,eu_free_movement,true,false,false,false,EU family; gemeente registration
ES,Spain,NL,1,Student - single,eu_free_movement,true,false,false,false,EU citizen; gemeente registration; no permit
