corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
NO-FR,legal_admin,Karl Waheed Avocats,https://www.karlwaheed.fr/en/,"Karl Waheed Avocats - Our services (immigration, work authorization & residency for transfers to/from France)",https://www.karlwaheed.fr/en/our-services/,Barreau de Paris,,
NO-FR,legal_admin,Fragomen France,https://www.fragomen.com/,Fragomen - Immigration Services in Paris office page,https://www.fragomen.com/offices/paris.html,Ordre des Avocats des Hauts-de-Seine,,
NO-FR,legal_admin,Tostado Avocats (Cabinet Daniel Tostado),https://www.danieltostado.com/,"Daniel Tostado - About / immigration legal services (visas, residence permits, naturalisation)",https://www.danieltostado.com/about-3,Barreau de Paris,,
NO-FR,tax_finance,Hayot Expertise,https://hayot-expertise.fr/en,Hayot Expertise - English-speaking accountant in Paris (international businesses),https://hayot-expertise.fr/en/services/english-speaking-accountant-paris,Ordre des Experts-Comptables Paris Ile-de-France,942 525 098,
NO-FR,tax_finance,Nexco,https://www.nexco-expertise.com/,"Nexco - English-speaking accountant in Paris (expats, impatriate regime)",https://www.nexco-expertise.com/english-speaking-accountants-in-paris,Ordre des Experts-Comptables Paris Ile-de-France,,
NO-FR,tax_finance,GMBA (Walter France),https://www.gmba-allinial.com/en,GMBA - International Mobility: impatriates & assignees in France,https://www.gmba-allinial.com/en/our-expertise/international-mobility,Ordre des Experts-Comptables,,
NO-FR,banks,BNP Paribas,https://group.bnpparibas/en/,BNP Paribas - Non-Residents service for international clients (9 geo-specialised Paris branches),https://group.bnpparibas/en/news/non-residents-service-our-dedicated-support-for-international-clients,,,
NO-FR,banks,HSBC (Continental Europe),https://www.hsbc.fr/en,"HSBC France - Legal Notices (HSBC Continental Europe, 38 avenue Kleber Paris, SIREN 775 670 284)",https://www.hsbc.fr/en/mentions-legales,,,
NO-FR,banks,LCL,https://www.lcl.fr/,LCL - Je pars a l'etranger (support for clients moving abroad),https://www.lcl.fr/je-pars-a-l-etranger,,,
NO-FR,banks,CIC,https://www.cic.fr/,CIC - Non-French speaking clients (international multilingual teams),https://www.cic.fr/fr/entreprises/comptes/non-french-speaking-clients.html,,,
NO-FR,banks,Societe Generale,https://particuliers.sg.fr/,SG - Option Internationale (international payments & transfers for clients abroad),https://particuliers.sg.fr/ouvrir-compte-bancaire-en-ligne/moyens-paiement/personnaliser-carte-bancaire/option-internationale-frais-virements-paiements-etranger,,,
NO-FR,movers,AGS France (AGS Movers Paris),https://www.agsmovers.com/,"FIDI Affiliate directory - AGS France (FAIM accredited, valid to 2028, 61 rue Bongarde Paris)",https://www.fidi.org/find-fidi-affiliate/ags-france,,,
NO-FR,movers,Grospiron Mobility Solutions,https://www.grospiron.com/en/,"FIDI Affiliate directory - Grospiron Mobility Solutions (FAIM accredited, Levallois-Perret / Paris)",https://www.fidi.org/find-fidi-affiliate/grospiron-mobility-solutions,,,
NO-FR,movers,Santa Fe Relocation - Paris,https://www.santaferelo.com/,"FIDI Affiliate directory - Santa Fe Relocation Paris (FAIM accredited, valid to 2029)",https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-paris,,,
NO-FR,housing_agencies,Paris-Housing,https://www.paris-housing.com/,Paris-Housing - Apartment rental services for expats in Paris,https://www.paris-housing.com/rentals/expat-services,,,
NO-FR,housing_agencies,Relocation In Paris,https://relocation-in-paris.fr/en,"Relocation In Paris - Paris relocation agency (property search, corporate relocation)",https://relocation-in-paris.fr/en/blog/best-paris-relocation-agencies-find-the-right-local-support-before-moving,,,
NO-FR,housing_agencies,Lodgis,https://www.lodgis.com/en,Lodgis - Long-term apartment rentals in Paris for expats,"https://www.lodgis.com/en/paris,long-term-rentals/rentals-furnished-paris_20245.cat.html",,,
NO-FR,schools,International School of Paris,https://www.isparis.edu/,"International School of Paris - Admissions (three-programme IB World School, Nursery to Grade 12, English-language)",https://www.isparis.edu/admissions,,,
NO-FR,schools,American School of Paris,https://www.asparis.org/,"American School of Paris - Admissions (American curriculum + IB Diploma, ages 3-18, Saint-Cloud)",https://www.asparis.org/admissions,,,
NO-FR,schools,The British School of Paris,https://www.britishschool.fr/,"The British School of Paris - Why choose the BSP (British curriculum, ages 3-18)",https://www.britishschool.fr/admissions/why-choose-the-bsp/,,,
NO-FR,schools,EIB Paris (Ecole Internationale Bilingue),https://www.eibparis.com/en,"EIB Paris - Admissions (French-English bilingual international schools, ages 3-18)",https://www.eibparis.com/en/admissions,,,
FR-NO,legal_admin,Adalat Law Firm,https://adalat.no,Adalat - Asylum and immigration law practice area,https://adalat.no/practice_area/asylum-and-immigration-law/,Advokatforeningen / Tilsynsradet for advokatvirksomhet,923 099 727,
FR-NO,legal_admin,Sterk Law Firm,https://www.lawyernorway.no,Sterk Law Firm - Employment and Immigration Law,https://www.lawyernorway.no/services/employment-and-immigration-law,Advokatforeningen / Tilsynsradet for advokatvirksomhet,931 556 584,
FR-NO,legal_admin,Reinholdt Advokatfirma,https://reinholdt.no,Reinholdt - Immigration lawyer Norway,https://reinholdt.no/immigration-lawyer-norway/,Advokatforeningen / Tilsynsradet for advokatvirksomhet,926 162 578,
FR-NO,legal_admin,Aider Legal,https://www.aiderlegal.com,Aider Legal - Global mobility and immigration services,https://www.aiderlegal.com/our-expertise/global-mobility,Advokatforeningen / Tilsynsradet for advokatvirksomhet,835 700 402,
FR-NO,tax_finance,Leinonen Norway,https://leinonen.eu/nor/,Leinonen Norway - Tax Advisory,https://leinonen.eu/nor/services/taxation/,Finanstilsynet (autorisert regnskapsforer),,
FR-NO,tax_finance,Nordic Expat Accounting,https://www.nordic-expat.no,Finanstilsynet registry - Nordic Expat Accounting AS (approved external accounting firm),https://www.finanstilsynet.no/en/finanstilsynets-registry/details/?id=257104,Finanstilsynet (approved external accounting firm),,
FR-NO,tax_finance,Aider,https://aider.no,"Aider - Accounting, Reporting & Payroll Services",https://www.aiderlegal.com/our-expertise/accounting-and-reporting,Finanstilsynet (autorisert regnskapsforetak),922 633 452,
FR-NO,tax_finance,Enter Norway,https://enternorway.no,Enter Norway - Payroll Services in Norway for International Companies,https://enternorway.no/en/payroll-services-norway/,Finanstilsynet (certified accounting firm),,
FR-NO,housing_agencies,Expat Relocation,https://expatrelocation.no,"Expat Relocation - About us (Oslo office, EuRA certified relocation)",https://expatrelocation.no/about-us/,,,
FR-NO,housing_agencies,Relocation.no,https://relocation.no,"Relocation.no - Services (immigration, homefinding, settling-in for assignees to Norway; Oslo office at Frognerveien 60)",https://relocation.no/services/,,,
FR-NO,housing_agencies,Nordic Relocators,https://nordicrelocators.no,"Nordic Relocators - Contact (Oslo office, Karl Johans gate 7)",https://nordicrelocators.no/en/contact,,,
FR-NO,housing_agencies,DNB Eiendom,https://dnbeiendom.no,"DNB - Estate agent (DNB Eiendom, Norway's leading real estate agent)",https://www.dnb.no/en/real-estate,,,
